"filename", "language", "Go", "comment", "blank", "total"
"c:\Users\paako\OneDrive\CompSci\Code\Current Projects\HELIOS\utils\search.go", "Go", 150, -1, 21, 170
"Total", "-", 150, -1, 21, 170
